,,สภาวะราคาของชิ้นส่วนหลัก Wk17 (28.4.65-4.5.65),,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,รายการ,BKK (เขตบางกะปิ),,,,,,,,รายการ,EST (ชลบุรี),,,,,,
,,สินค้า,ค้าส่ง,,,ค้าปลีก,,,,,สินค้า,ค้าส่ง,,,ค้าปลีก,,,
,,,ซีพี,เบทาโกร,ไทยฟู้ดส์,Lotus's,Big C,Makro,ตลาดสดบางกะปิ,,,ซีพี,เบทาโกร,ไทยฟู้ดส์,Lotus's,Big C,Makro,ตลาดใหม่ชลบุรี
สะโพกTT,,เนื้อสะโพก,158,148,148,169,158P,159,180,,เนื้อสะโพก,155,159,155,176,158,159,180
ไหล่TT,,เนื้อไหล่,153,142,144,169,158P,158,180,,เนื้อไหล่,151,154,150,165,155,155,180
สันนอกTT,,สันนอก,161,149,157,195,190,186,180,,สันนอก,159,160,165,189,190,178,190
สันในTT,,สันใน,157,154,157,265,235,207,180,,สันใน,173,164,162,194,195,215,200
สันคอTT,,สันคอ,234,209,182,250,250,243,185,,สันคอ,233,210,220,272,262,239,220
สามชั้นTT,,สามชั้น,185,176,178,245,239,199,200,,สามชั้น,180,180,190,229,235,220,200
ซี่โครงแผ่นTT,,ซี่โครง,148,130,134,176,169P,173,170,,ซี่โครง,150,148,155,,,178,190
คอหมูย่างTT,,คอหมูย่าง,268,270,267,,,,290,,คอหมูย่าง,264,310,250,325,,291,250
ไหล่บด,,หมูบด,135,,,179,167,165,150,,หมูบด,132,148,130,162,179,165,150
ขาหลังเผาแบ่งคากิ,,ขาหมู,90,,,108,100,103,95,,ขาหมู,,,,,,110,
หัวติดลิ้น,,หัวติดลิ้น,54,48,53,,,,,,หัวติดลิ้น,52,50,60,,,,70
เครื่องในชุด(หมู),,เครื่องในชุด,72,64,71,,,,,,เครื่องในชุด,69,,,,,,
